epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,735.681,1.29776,3.35196,0.44841,0.65734,0.22348,0.23984,0.15477,0.76588,1.0109,0.32181,0.000158421,0.000158421,0.000158421
2,1454.32,0.87727,0.6912,0.17971,0.39923,0.2934,0.26353,0.16761,0.80246,0.9432,0.34489,0.000312728,0.000312728,0.000312728
3,2165.7,0.82612,0.63975,0.16544,0.44182,0.38659,0.36799,0.23443,0.70962,0.85837,0.29191,0.000462672,0.000462672,0.000462672
4,2875.13,0.78601,0.6353,0.15477,0.39097,0.46739,0.41699,0.26849,0.72995,0.80423,0.27968,0.000456365,0.000456365,0.000456365
5,3581,0.76124,0.61381,0.14222,0.47863,0.4561,0.43921,0.27162,0.6735,0.83474,0.27183,0.00044982,0.00044982,0.00044982
6,4290.9,0.74305,0.62338,0.14766,0.5443,0.4739,0.467,0.30002,0.69587,0.726,0.26324,0.000443275,0.000443275,0.000443275
7,5003,0.71887,0.59446,0.139,0.41791,0.4745,0.44186,0.28134,0.75323,0.75209,0.3232,0.00043673,0.00043673,0.00043673
8,5712.26,0.70515,0.58401,0.13018,0.42196,0.51939,0.49412,0.31976,0.72624,0.73678,0.26455,0.000430185,0.000430185,0.000430185
9,6418.11,0.70192,0.5893,0.13378,0.5212,0.5057,0.499,0.31844,0.65475,0.75505,0.24136,0.00042364,0.00042364,0.00042364
10,7125.59,0.67449,0.57596,0.11929,0.46788,0.54439,0.50785,0.32178,0.66834,0.74059,0.21922,0.000417095,0.000417095,0.000417095
11,7833.96,0.64958,0.57073,0.12033,0.54544,0.45474,0.50325,0.32663,0.65941,0.71348,0.22292,0.00041055,0.00041055,0.00041055
12,8541.7,0.66929,0.57992,0.12228,0.52338,0.44805,0.43823,0.27987,0.65659,0.77758,0.23988,0.000404005,0.000404005,0.000404005
13,9248.98,0.62314,0.56315,0.11539,0.58867,0.53259,0.5212,0.33764,0.68869,0.7085,0.2617,0.00039746,0.00039746,0.00039746
14,9956.34,0.62734,0.5653,0.12277,0.5292,0.5716,0.55317,0.33137,0.72467,0.64092,0.29853,0.000390915,0.000390915,0.000390915
