epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,731.471,1.77735,6.19016,0.74304,0.90436,0.02966,0.03364,0.01761,1.02608,1.32026,0.72002,3.32818e-05,3.32818e-05,3.32818e-05
2,1444.76,0.98465,0.81975,0.24974,0.3058,0.24882,0.18561,0.11538,0.78825,1.08531,0.32791,6.56992e-05,6.56992e-05,6.56992e-05
3,2156.23,0.88389,0.69876,0.19701,0.40197,0.38574,0.30731,0.19415,0.74065,0.92446,0.29084,9.71999e-05,9.71999e-05,9.71999e-05
4,2866.07,0.82275,0.67973,0.16602,0.39275,0.42114,0.36212,0.25134,0.6789,0.87917,0.2566,9.5875e-05,9.5875e-05,9.5875e-05
5,3575.84,0.78426,0.63436,0.14063,0.46187,0.45718,0.42404,0.28729,0.67192,0.81642,0.25645,9.45e-05,9.45e-05,9.45e-05
6,4286.65,0.76237,0.62936,0.14545,0.52841,0.41513,0.42348,0.29651,0.69368,0.78662,0.26073,9.3125e-05,9.3125e-05,9.3125e-05
7,4996.51,0.73249,0.6015,0.13611,0.55591,0.48239,0.47261,0.31747,0.68646,0.75548,0.23979,9.175e-05,9.175e-05,9.175e-05
8,5706.74,0.72183,0.57716,0.12729,0.52405,0.51041,0.50378,0.32731,0.66719,0.70948,0.21855,9.0375e-05,9.0375e-05,9.0375e-05
9,6416,0.70746,0.58681,0.12616,0.54704,0.54122,0.50768,0.32444,0.68566,0.68439,0.23381,8.9e-05,8.9e-05,8.9e-05
10,7125.88,0.68824,0.56429,0.1199,0.59672,0.47927,0.51746,0.34735,0.64215,0.69898,0.24316,8.7625e-05,8.7625e-05,8.7625e-05
11,7836.78,0.66057,0.56183,0.11689,0.50889,0.5472,0.55551,0.36862,0.61235,0.7205,0.1946,8.625e-05,8.625e-05,8.625e-05
12,8546.1,0.64771,0.55548,0.11392,0.53059,0.53284,0.52371,0.32662,0.64156,0.71983,0.2233,8.4875e-05,8.4875e-05,8.4875e-05
13,9256.67,0.61603,0.54761,0.10586,0.48875,0.55745,0.55198,0.3631,0.62071,0.71592,0.21764,8.35e-05,8.35e-05,8.35e-05
14,9966.49,0.60468,0.54154,0.10877,0.67576,0.52495,0.57358,0.37244,0.60918,0.68973,0.20817,8.2125e-05,8.2125e-05,8.2125e-05
15,10676.4,0.58938,0.53943,0.10503,0.53475,0.57035,0.54281,0.34588,0.65339,0.68526,0.21234,8.075e-05,8.075e-05,8.075e-05
16,11385.6,0.60942,0.52805,0.10832,0.61549,0.57557,0.57668,0.36597,0.63147,0.67418,0.20521,7.9375e-05,7.9375e-05,7.9375e-05
17,12095.8,0.57753,0.51894,0.09696,0.578,0.55737,0.59184,0.38537,0.66424,0.65988,0.21344,7.8e-05,7.8e-05,7.8e-05
18,12806.4,0.57542,0.50717,0.09285,0.56761,0.59145,0.58489,0.38412,0.61579,0.69667,0.19129,7.6625e-05,7.6625e-05,7.6625e-05
19,13516.4,0.55033,0.5117,0.09425,0.64681,0.52286,0.58479,0.36805,0.63745,0.64544,0.21032,7.525e-05,7.525e-05,7.525e-05
20,14226.2,0.54478,0.51587,0.09636,0.56301,0.61305,0.60737,0.39508,0.615,0.67554,0.1951,7.3875e-05,7.3875e-05,7.3875e-05
21,14936.6,0.55404,0.49661,0.09546,0.57619,0.63104,0.60679,0.39787,0.66128,0.63324,0.2203,7.25e-05,7.25e-05,7.25e-05
22,15646,0.53674,0.4868,0.09343,0.62436,0.63406,0.65235,0.42624,0.62736,0.62023,0.1969,7.1125e-05,7.1125e-05,7.1125e-05
23,16354.5,0.52844,0.49258,0.09889,0.66966,0.6297,0.61567,0.40448,0.60177,0.65732,0.18288,6.975e-05,6.975e-05,6.975e-05
24,17066.1,0.53234,0.4769,0.09288,0.63344,0.64135,0.6595,0.42929,0.6082,0.62025,0.19974,6.8375e-05,6.8375e-05,6.8375e-05
25,17778.1,0.51929,0.47695,0.09014,0.59874,0.62914,0.62692,0.40197,0.61536,0.63999,0.2096,6.7e-05,6.7e-05,6.7e-05
